user_id,username,age,subscription,region,city,product_category,sale_amount,price,email,transaction_date,raw_timestamp,status,store_id
779,Kiara52,52,Premium,East,Ahmedabad,Clothing,1778.86,1415.41,kiara52@mail.com,2024-03-12,2024-03-07 00:00:00,Pending,ST002
335,Rohan58,45,Premium,North,Jaipur,Toys,447.41,402.81,rohan58@mail.com,2024-03-13,2024-12-21 00:00:00,Active,ST013
272,Ananya79,57,Basic,East,Lucknow,Books,666.85,27.15,ananya79@mail.com,2024-11-24,2024-08-11 00:00:00,Pending,ST012
803,Aarav96,17,Basic,South,Kolkata,Electronics,1917.27,815.27,aarav96@mail.com,2024-09-30,2024-12-31 00:00:00,Active,ST015
217,Karan38,20,Basic,West,Chennai,Sports,1003.74,154.88,karan38@mail.com,2024-07-14,2024-07-08 00:00:00,Inactive,ST015
409,Anika86,34,Premium,South,Lucknow,Toys,1954.02,225.16,anika86@mail.com,2024-07-08,2024-11-16 00:00:00,,ST001
813,Reyansh30,30,Basic,South,Delhi,Books,149.61,128.12,reyansh30@mail.com,2024-08-31,2024-04-11 00:00:00,Active,ST018
95,Manish99,54,Premium,South,Bangalore,Clothing,1401.05,1355.93,manish99@mail.com,2024-07-05,2024-12-12 00:00:00,Inactive,ST015
488,Ananya56,22,Premium,West,Ahmedabad,Clothing,1987.64,1158.67,ananya56@mail.com,2024-03-18,2024-12-19 00:00:00,Active,ST002
171,Ananya26,44,Premium,North,Indore,Sports,1933.54,595.19,ananya26@mail.com,2024-06-29,2024-08-22 00:00:00,Inactive,ST010
25,Ishaan9,64,Basic,North,Indore,Books,1963.24,1410.07,ishaan9@mail.com,2024-04-01,2024-10-24 00:00:00,Pending,ST002
243,Manish33,56,Premium,South,Chennai,Furniture,244.63,78.38,manish33@mail.com,2024-06-09,2024-08-06 00:00:00,Active,ST004
543,Anika14,36,Basic,North,Delhi,Clothing,1128.17,,anika14@mail.com,2024-04-05,2024-04-11 00:00:00,Active,ST013
51,Myra89,34,Basic,North,Ahmedabad,Books,206.86,,myra89@mail.com,2024-05-08,2024-01-14 00:00:00,Active,ST008
18,,60,Basic,East,Chennai,Groceries,1308.73,1394.95,reyansh86@mail.com,2024-11-14,2024-10-15 00:00:00,Active,ST003
427,Sai75,18,Premium,North,Hyderabad,Toys,368.45,640.88,sai75@mail.com,2024-05-28,2024-05-29 00:00:00,Active,ST017
126,Ananya85,45,Basic,North,Bangalore,Groceries,717.54,1162.54,ananya85@mail.com,2024-12-20,2024-05-15 00:00:00,,ST007
454,Manish12,30,Premium,North,Pune,Sports,810.4,369.19,manish12@mail.com,2024-03-30,2024-04-19 00:00:00,Pending,ST015
651,Raj94,62,Basic,West,Bangalore,Groceries,1023.92,1192.18,raj94@mail.com,2024-01-02,2024-08-18 00:00:00,Inactive,ST015
667,Manish58,42,Basic,North,Lucknow,Electronics,887.16,573.46,manish58@mail.com,2024-03-26,2024-01-18 00:00:00,Pending,ST019
169,Aarav44,56,Premium,East,Surat,Clothing,1126.23,651.03,aarav44@mail.com,2024-11-18,2024-04-04 00:00:00,Inactive,ST014
777,Aadhya61,36,Basic,West,Bangalore,Furniture,960.34,52.19,aadhya61@mail.com,2024-10-21,2024-12-21 00:00:00,,ST013
573,,36,Basic,East,Pune,Toys,1241.08,1312.15,diya88@mail.com,2024-12-23,2024-07-24 00:00:00,Inactive,ST001
849,Raj20,28,Basic,East,Indore,Furniture,71.0,480.52,raj20@mail.com,2024-08-29,2024-04-28 00:00:00,,ST010
790,Kiara59,17,Premium,North,Pune,Electronics,1954.84,1325.41,kiara59@mail.com,2024-02-10,2024-06-21 00:00:00,Pending,ST014
591,Aditya72,31,Premium,West,Delhi,Books,1934.24,1466.11,aditya72@mail.com,2024-01-24,2024-09-22 00:00:00,Pending,ST018
26,Vihaan77,42,Basic,North,Kolkata,Books,275.51,301.32,,2024-09-23,2024-10-02 00:00:00,Inactive,ST012
485,Aarav21,33,Premium,South,Pune,Groceries,478.42,521.95,aarav21@mail.com,2024-12-02,2024-08-27 00:00:00,Inactive,ST010
